type,ident,value
node,q_avoid_losing_work,"How can I avoid losing work?"
node,q_find_use_others_data,"How can I find and use other people's data?"
node,q_find_use_others_software,"How can I find and use other people's software?"
node,q_improve_productivity,"How can I be more productive?"
node,q_make_collaboration_easy,"How can I make it easy for people to collaborate with me?"
node,q_make_data_findable_usable,"How can I make it easy for people to find and use my data?"
node,q_make_data_usable_by_programs,"How can I make it easy for programs to use my data?"
node,q_make_software_findable_usable,"How can I make it easy for people to find and use my software?"
node,q_results_correct,"How can I tell if my results are correct?"
node,a_add_human_work_to_repo,"Put everything created by people into version control."
node,a_atomic_values,"Make every value atomic."
node,a_automate_tasks,"Automate repetitive tasks."
node,a_avoid_duplication,"Avoid duplicating functionality within modules."
node,a_build_and_smoke_tests,"Provide simple re-runnable end-to-end test cases."
node,a_build_tools,"Build tools."
node,a_choose_primary_communication_channel,"Choose a primary communication channel."
node,a_choose_visualization,"Choose an appropriate visualization."
node,a_clean_up_data,"Clean up data."
node,a_code_reviews,"Do code reviews."
node,a_commit_checklist,"Maintain a checklist of things to do before sharing a change."
node,a_consistent_project_organization,"Organize the project consistently."
node,a_data_doi,"Submit data to a reputable DOI issuer."
node,a_debugging,"Debug programs."
node,a_defensive_programming,"Practice defensive programming."
node,a_document_function,"Begin programs with explanatory comments."
node,a_dont_duplicate_code,"Don't duplicate code."
node,a_dont_duplicate_large_data,"Don't duplicate large data."
node,a_explicit_requirements,"Make requirements/dependencies explicit."
node,a_foster_welcoming_environment,"Foster a welcoming environment."
node,a_get_orcid,"Get an ORCID."
node,a_give_code_meaningful_names,"Give values, functions, and classes meaningful names."
node,a_good_commit_comments,"Write good commit comments."
node,a_have_computer_repeat_things,"Have the computer repeat things."
node,a_include_readme,"Include a README file explaining project scope."
node,a_isolate_dependencies,"Isolate project dependencies."
node,a_keys_for_records,"Give every record a unique key."
node,a_master_manuscript_online,"Keep the master copy of every manuscript on the web."
node,a_meaningful_path_names,"Use meaningful path names."
node,a_normalize_data,"Normalize data."
node,a_open_text_formats,"Prefer open text formats to proprietary non-text formats."
node,a_profile_performance,"Find performance bottlenecks."
node,a_project_todo_list,"Maintain a to-do list for each project."
node,a_read_error_messages,"Read error messages.
node,a_record_analysis_steps_textually,"Represent every analysis step textually."
node,a_record_data_provenance,"Record provenance in data."
node,a_record_publishing_steps,"Record publishing steps like analysis steps."
node,a_regular_spreadsheet_layout,"Use regular layout for spreadsheets."
node,a_remove_unused_code,"Remove unused code."
node,a_represent_each_fact_once,"Represent each fact once."
node,a_results_repeatable,"Make results repeatable."
node,a_reuse_libraries,"Re-use libraries rather than writing equivalents."
node,a_run_precommit_checks,"Run tests automatically before each commit."
node,a_search_answer_sites,"Search question-and-answer sites."
node,a_search_repositories,"Search data and software repositories."
node,a_separate_models_from_views,"Separate models from views."
node,a_set_up_development,"Make it easy to set up a development environment."
node,a_software_doi,"Submit software to a reputable DOI issuer."
node,a_sortable_matchable_path_names,"Use path names that are easy to sort and to match."
